searge,name,side,desc
func_120019_b,buildInfoPanel,2,
func_120020_c,buildPlayerPanel,2,
func_120034_a,tick,2,
func_120035_a,getAverage,2,
func_130011_c,setLastHurtMob,2,
func_130014_f_,getCommandSenderWorld,2,
func_130072_d,getFrame,0,
func_130073_e,getUniqueFrameIndices,0,
func_130098_m,isAnimation,0,
func_130105_g,getStartupTime,2,
func_135016_M,getLanguageManager,0,
func_135018_a,getLanguages,0,
func_135035_b,isBidirectional,0,
func_135040_d,getLanguages,0,
func_135041_c,getSelected,0,
func_135044_b,isBidirectional,0,
func_135045_a,setSelected,0,
func_135052_a,get,0,
func_135074_t,resetHoverName,2,
func_140005_i,realmsButtonClicked,0,
func_142008_O,repositionEntityAfterLoad,2,
func_142013_aG,getLastHurtMobTimestamp,2,
func_142015_aE,getLastHurtByMobTimestamp,2,
func_142017_o,onLeashDistance,2,
func_142018_a,wantsToAttack,2,
func_142021_k,getServerBrand,0,
func_142049_d,removeModifiers,2,
func_142054_a,isAlliedTo,2,
func_143004_u,resetLastActionTime,2,
func_143006_e,setPlayerIdleTimeout,2,
func_143007_ar,getPlayerIdleTimeout,2,
func_143010_b,createTag,2,
func_143011_b,addAdditionalSaveData,2,
func_143018_f,getChunkZ,2,
func_143019_e,getChunkX,2,
func_143021_a,createTag,2,
func_143025_a,getFeatureName,2,
func_145747_a,sendMessage,2,
func_145748_c_,getDisplayName,2,
func_145749_h,getLastOutput,2,
func_145750_b,setLastOutput,2,
func_145752_a,setCommand,2,
func_145753_i,getCommand,2,
func_145755_a,performCommand,2,
func_145756_e,onUpdated,2,
func_145759_b,load,2,
func_145760_g,getSuccessCount,2,
func_145769_d,setId,2,
func_145770_h,shouldRender,2,
func_145773_az,isIgnoringBlockTriggers,2,
func_145775_I,checkInsideBlocks,2,
func_145782_y,getId,2,
func_145806_a,setHurtsEntities,2,
func_145807_e,getLevel,2,
func_145818_k_,hasCustomName,2,
func_145822_e,getCommandBlock,2,
func_145828_a,fillCrashReportCategory,2,
func_145829_t,clearRemoved,2,
func_145830_o,hasLevel,2,
func_145831_w,getLevel,2,
func_145833_n,getViewDistance,2,
func_145836_u,clearCache,2,
func_145837_r,isRemoved,2,
func_145842_c,triggerEvent,2,
func_145843_s,setRemoved,2,
func_145860_a,getProgress,2,
func_145866_f,finalTick,2,
func_145867_d,isSourcePiston,2,
func_145868_b,isExtending,2,
func_145881_a,getSpawner,2,
func_145883_k,ejectItems,2,
func_145884_b,getSourceContainer,2,
func_145888_j,isOnCooldown,2,
func_145891_a,suckInItems,2,
func_145893_b,getContainerAt,2,
func_145894_a,canMergeItems,2,
func_145895_l,getAttachedContainer,2,
func_145896_c,setCooldown,2,
func_145911_b,getPlayerWhoMayEdit,2,
func_145912_a,setAllowedPlayerEditor,2,
func_145913_a,setEditable,2,
func_145914_a,isEditable,2,
func_145934_k,isBrewable,2,
func_145940_l,doBrew,2,
func_145969_a,startOpen,2,
func_145970_b,stopOpen,2,
func_145971_a,stillValid,2,
func_145993_a,getCommandBlock,2,
func_145995_a,setOutputSignal,2,
func_145996_a,getOutputSignal,2,
func_146000_x,applyEffects,2,
func_146017_i,getRandomSlot,2,
func_146019_a,addItem,2,
func_146031_a,setActiveChest,2,
func_146034_e,retrieve,2,
func_146065_b,dropItem,2,
func_146066_aG,shouldDropExperience,2,
func_146070_a,setCanBreakDoors,2,
func_146072_bX,canBreakDoors,2,
func_146077_cc,explodeCreeper,2,
func_146078_ca,isIgnited,2,
func_146079_cb,ignite,2,
func_146082_f,setInLove,2,
func_146094_a,createPlayerUUID,2,
func_146097_a,drop,2,
func_146103_bH,getGameProfile,2,
func_146105_b,displayClientMessage,2,
func_146107_m,getStats,0,
func_146140_b,setSelected,0,
func_146141_c,isSelected,0,
func_146158_b,getChat,0,
func_146175_b,deleteChars,0,
func_146176_q,isVisible,0,
func_146177_a,deleteWords,0,
func_146178_a,tick,0,
func_146179_b,getValue,0,
func_146180_a,setValue,0,
func_146181_i,isBordered,0,
func_146182_d,moveCursor,0,
func_146183_a,getWordPosition,0,
func_146184_c,setEditable,0,
func_146185_a,setBordered,0,
func_146187_c,getWordPosition,0,
func_146188_c,renderHighlight,0,
func_146189_e,setVisible,0,
func_146190_e,moveCursorTo,0,
func_146191_b,insertText,0,
func_146193_g,setTextColor,0,
func_146195_b,setFocus,0,
func_146196_d,moveCursorToStart,0,
func_146197_a,getWordPosition,0,
func_146198_h,getCursorPosition,0,
func_146199_i,setHighlightPos,0,
func_146200_o,getInnerWidth,0,
func_146202_e,moveCursorToEnd,0,
func_146203_f,setMaxLength,0,
func_146204_h,setTextColorUneditable,0,
func_146205_d,setCanLoseFocus,0,
func_146207_c,getHighlighted,0,
func_146208_g,getMaxLength,0,
func_146227_a,addMessage,0,
func_146228_f,getWidth,0,
func_146231_a,clearMessages,0,
func_146232_i,getLinesPerPage,0,
func_146234_a,addMessage,0,
func_146238_c,getRecentChat,0,
func_146239_a,addRecentChat,0,
func_146240_d,resetChatScroll,0,
func_146241_e,isChatFocused,0,
func_146242_c,removeById,0,
func_146245_b,rescaleChat,0,
func_146246_g,getHeight,0,
func_146314_g,updateResultFolder,0,
func_146315_i,toggleDisplayOptions,0,
func_146316_a,setDisplayOptions,0,
func_146350_a,setDelay,0,
func_146359_e,copyToClipboard,0,
func_146367_a,connect,0,
func_146375_g,updateButtonValidity,0,
func_146382_i,hasValidSelection,0,
func_146402_a,moveInHistory,0,
func_146418_g,sendWakeUp,0,
func_146574_g,respawn,0,
func_146575_b,renderBg,0,
func_146586_a,stop,2,
func_146595_g,updateSelectionStrings,0,
func_146789_i,getPinger,0,
func_146791_a,join,0,
func_146792_q,refreshServerList,0,
func_146795_p,getServers,0,
func_146796_h,joinSelectedServer,0,
func_146980_g,recalculateQuickCraftRemaining,0,
func_146982_a,renderFloatingItem,0,
func_147050_b,selectTab,0,
func_147053_i,refreshSearchResults,0,
func_147055_p,canScroll,0,
func_147056_g,getSelectedTab,0,
func_147068_g,tickBook,0,
func_147096_v,getChatVisibility,2,
func_147097_b,broadcast,2,
func_147099_x,getStats,2,
func_147100_a,updateOptions,2,
func_147104_D,getCurrentServer,0,
func_147108_a,setScreen,0,
func_147110_a,getMainRenderTarget,0,
func_147111_S,is64Bit,0,
func_147112_ai,pickBlock,0,
func_147113_T,isPaused,0,
func_147114_u,getConnection,0,
func_147115_a,continueAttack,0,
func_147116_af,startAttack,0,
func_147118_V,getSoundManager,0,
func_147121_ag,startUseItem,0,
func_147122_X,checkIs64Bit,0,
func_147130_as,getSessionService,2,
func_147132_au,invalidateStatus,2,
func_147133_T,getResourcePack,2,
func_147134_at,getStatus,2,
func_147137_ag,getConnection,2,
func_147139_a,setDifficulty,2,
func_147149_a,saveToFile,2,
func_147152_a,getStacktrace,2,
func_147223_a,tick,0,
func_147224_a,pingServer,0,
func_147225_b,pingLegacyServer,0,
func_147226_b,removeAll,0,
func_147231_a,onDisconnect,2,
func_147234_a,handleBlockUpdate,2,
func_147235_a,handleAddEntity,2,
func_147236_a,handleEntityEvent,2,
func_147237_a,handleAddPlayer,2,
func_147238_a,handleRemoveEntity,2,
func_147239_a,handleContainerAck,2,
func_147240_a,handleCustomPayload,2,
func_147241_a,handleContainerContent,2,
func_147242_a,handleSetEquipment,2,
func_147243_a,handleEntityLinkPacket,2,
func_147244_a,handleSetEntityMotion,2,
func_147245_a,handleContainerSetData,2,
func_147246_a,handleTakeItemEntity,2,
func_147247_a,handleSetPlayerTeamPacket,2,
func_147249_a,handleSetHealth,2,
func_147250_a,handleSetScore,2,
func_147251_a,handleChat,2,
func_147252_a,handleGameEvent,2,
func_147253_a,handleDisconnect,2,
func_147254_a,handleSetDisplayObjective,2,
func_147256_a,handlePlayerInfo,2,
func_147257_a,handleSetCarriedItem,2,
func_147259_a,handleMoveEntity,2,
func_147260_a,handleUpdateMobEffect,2,
func_147261_a,handleBlockEvent,2,
func_147262_a,handleRemoveMobEffect,2,
func_147263_a,handleLevelChunk,2,
func_147264_a,handleMapItemData,2,
func_147266_a,handleContainerSetSlot,2,
func_147267_a,handleRotateMob,2,
func_147268_a,handleOpenSignEditor,2,
func_147270_a,handlePlayerAbilities,2,
func_147272_a,handleKeepAlive,2,
func_147273_a,handleBlockEntityData,2,
func_147275_a,handleTeleportEntity,2,
func_147276_a,handleContainerClose,2,
func_147277_a,handleLevelEvent,2,
func_147279_a,handleAnimate,2,
func_147280_a,handleRespawn,2,
func_147281_a,handleAddMob,2,
func_147282_a,handleLogin,2,
func_147283_a,handleExplosion,2,
func_147284_a,handleSetEntityData,2,
func_147285_a,handleSetTime,2,
func_147286_a,handleAddExperienceOrb,2,
func_147287_a,handleChunkBlocksUpdate,2,
func_147288_a,handleAddPainting,2,
func_147289_a,handleParticleEvent,2,
func_147290_a,handleUpdateAttributes,2,
func_147291_a,handleAddObjective,2,
func_147293_a,handleAwardStats,2,
func_147294_a,handleBlockDestruction,2,
func_147295_a,handleSetExperience,2,
func_147296_c,cleanup,0,
func_147297_a,send,0,
func_147298_b,getConnection,2,
func_147311_a,handlePingRequest,2,
func_147312_a,handleStatusRequest,2,
func_147315_a,handleKey,2,
func_147316_a,handleHello,2,
func_147317_d,getUserName,2,
func_147326_c,handleAcceptedLogin,2,
func_147338_a,handleContainerButtonClick,2,
func_147339_a,handleContainerAck,2,
func_147340_a,handleInteract,2,
func_147342_a,handleClientCommand,2,
func_147343_a,handleSignUpdate,2,
func_147344_a,handleSetCreativeModeSlot,2,
func_147345_a,handlePlayerAction,2,
func_147346_a,handleUseItem,2,
func_147347_a,handleMovePlayer,2,
func_147348_a,handlePlayerAbilities,2,
func_147349_a,handleCustomPayload,2,
func_147351_a,handleContainerClick,2,
func_147352_a,handleClientInformation,2,
func_147353_a,handleKeepAlive,2,
func_147354_a,handleChat,2,
func_147355_a,handleSetCarriedItem,2,
func_147356_a,handleContainerClose,2,
func_147357_a,handlePlayerCommand,2,
func_147358_a,handlePlayerInput,2,
func_147359_a,send,2,
func_147361_d,handleCommand,2,
func_147364_a,teleport,2,
func_147383_a,handleIntention,2,
func_147388_a,handleDisconnect,2,
func_147389_a,handleHello,2,
func_147390_a,handleGameProfile,2,
func_147391_c,getMinecraftSessionService,0,
func_147397_a,handleStatusResponse,2,
func_147398_a,handlePongResponse,2,
func_147407_a,setIconB64,0,
func_147409_e,getIconB64,0,
func_147413_a,replace,0,
func_147414_b,saveSingleServer,0,
func_147442_i,setThunderLevel,2,
func_147448_a,addAllPendingBlockEntities,2,
func_147485_a,doBlockEvent,2,
func_147488_Z,runBlockEvents,2,
func_147543_a,setLevel,0,
func_147547_b,getRenderer,0,
func_147548_a,getFont,0,
func_147585_a,setBlocksDirty,0,
func_147604_a,setClearColor,0,
func_147606_d,unbindRead,0,
func_147607_a,setFilterMode,0,
func_147608_a,destroyBuffers,0,
func_147609_e,unbindWrite,0,
func_147610_a,bindWrite,0,
func_147611_b,checkStatus,0,
func_147612_c,bindRead,0,
func_147615_c,blitToScreen,0,
func_147631_c,releaseId,0,
func_147645_c,release,0,
func_147647_b,bidirectionalShaping,0,
func_147649_g,getX,0,
func_147650_b,getLocation,0,
func_147651_i,getZ,0,
func_147652_d,getDelay,0,
func_147653_e,getVolume,0,
func_147654_h,getY,0,
func_147655_f,getPitch,0,
func_147656_j,getAttenuation,0,
func_147657_c,isLooping,0,
func_147667_k,isStopped,0,
func_147681_a,playDelayed,0,
func_147682_a,play,0,
func_147683_b,stop,0,
func_147685_d,destroy,0,
func_147687_e,resume,0,
func_147689_b,pause,0,
func_147690_c,stop,0,
func_147701_i,getMapRenderer,0,
func_147704_a,resize,0,
func_147706_e,currentEffect,0,
func_147778_a,blend,0,
func_147969_b,smallestFittingMinTexel,0,
func_147985_d,markDirty,0,
func_147986_h,getId,0,
func_147989_e,getVertexProgram,0,
func_147994_f,getFragmentProgram,0,
func_148017_a,getRenderTarget,0,
func_148018_a,process,0,
func_148020_a,addTempTarget,0,
func_148022_b,getName,0,
func_148023_a,addPass,0,
func_148024_c,updateOrthoMatrix,0,
func_148026_a,resize,0,
func_148027_a,parseTargetNode,0,
func_148028_c,parseUniformNode,0,
func_148041_a,addAuxAsset,0,
func_148042_a,process,0,
func_148055_a,getName,0,
func_148056_a,attachToEffect,0,
func_148062_a,getName,0,
func_148063_b,getExtension,0,
func_148064_d,getPrograms,0,
func_148065_c,getGlType,0,
func_148075_b,linkProgram,0,
func_148077_a,releaseProgram,0,
func_148078_c,createProgram,0,
func_148081_a,set,0,
func_148082_k,uploadAsMatrix,0,
func_148083_a,setSafe,0,
func_148084_b,setLocation,0,
func_148085_a,getTypeFromString,0,
func_148086_a,getName,0,
func_148087_a,set,0,
func_148089_j,uploadAsFloat,0,
func_148090_a,set,0,
func_148091_i,uploadAsInteger,0,
func_148092_b,setSafe,0,
func_148093_b,upload,0,
func_148095_a,set,0,
func_148096_h,markDirty,0,
func_148097_a,set,0,
func_148107_b,stringToBlendFactor,0,
func_148108_a,stringToBlendFunc,0,
func_148109_a,apply,0,
func_148111_b,isOpaque,0,
func_148194_a,updateNetworkServers,0,
func_148195_a,updateOnlineServers,0,
func_148236_a,updateTexture,0,
func_148246_a,update,0,
func_148248_b,getMapInstance,0,
func_148249_a,resetData,0,
func_148254_d,getAccessToken,0,
func_148255_b,getUuid,0,
func_148256_e,getGameProfile,0,
func_148259_a,grab,0,
func_148260_a,grab,0,
func_148296_a,getServerData,0,
func_148328_e,canScroll,0,
func_148329_a,scrollTo,0,
func_148335_a,initSeed,0,
func_148540_a,broadcastAll,2,
func_148543_a,broadcast,2,
func_148545_a,getPlayerForLogin,2,
func_148574_b,isReplace,0,
func_148596_a,reload,0,
func_148599_a,playDelayed,0,
func_148602_b,stop,0,
func_148604_f,resume,0,
func_148608_i,loadLibrary,0,
func_148610_e,pause,0,
func_148611_c,play,0,
func_148613_b,destroy,0,
func_148614_c,stopAll,0,
func_148720_g,getSound,0,
func_148721_a,getWeight,0,
func_148742_b,keySet,2,
func_148745_a,byId,2,
func_148746_a,addMapping,2,
func_148757_b,getId,2,
func_148833_a,handle,2,
func_148837_a,read,2,
func_148840_b,write,2,
func_148845_c,getId,2,
func_148846_g,getProgress,2,
func_148853_f,getType,2,
func_148857_g,getTag,2,
func_148864_h,getB1,2,
func_148868_c,getBlock,2,
func_148869_g,getB0,2,
func_148888_e,isAccepted,2,
func_148889_c,getContainerId,2,
func_148890_d,getUid,2,
func_148910_d,getItems,2,
func_148911_c,getContainerId,2,
func_148915_c,getMessage,2,
func_148916_d,isSystem,2,
func_148928_d,getY,2,
func_148930_g,getXRot,2,
func_148931_f,getYRot,2,
func_148932_c,getX,2,
func_148933_e,getZ,2,
func_148941_i,getyRot,2,
func_148943_d,getEntityId,2,
func_148945_j,getxRot,2,
func_148965_c,getId,2,
func_148974_c,getStats,2,
func_148977_d,getAction,2,
func_148978_c,getId,2,
func_148985_c,getId,2,
func_148986_g,getValue,2,
func_149001_c,getId,2,
func_149006_k,getyRot,2,
func_149008_j,getxRot,2,
func_149009_m,getData,2,
func_149024_d,getId,2,
func_149025_e,getType,2,
func_149026_i,getXd,2,
func_149028_l,getyRot,2,
func_149030_m,getxRot,2,
func_149031_k,getZd,2,
func_149032_n,getyHeadRot,2,
func_149033_j,getYd,2,
func_149060_h,hasRotation,2,
func_149063_g,getxRot,2,
func_149065_a,getEntity,2,
func_149066_f,getyRot,2,
func_149083_e,getPlayerGameType,2,
func_149098_c,getEntityIds,2,
func_149101_g,getFlyingSpeed,2,
func_149103_f,canInstabuild,2,
func_149105_e,canFly,2,
func_149106_d,isFlying,2,
func_149107_h,getWalkingSpeed,2,
func_149112_c,isInvulnerable,2,
func_149134_c,getId,2,
func_149137_d,getParam,2,
func_149143_g,getY,2,
func_149144_d,getKnockbackY,2,
func_149145_h,getZ,2,
func_149146_i,getPower,2,
func_149147_e,getKnockbackZ,2,
func_149148_f,getX,2,
func_149149_c,getKnockbackX,2,
func_149150_j,getToBlow,2,
func_149160_c,getEventId,2,
func_149161_a,getEntity,2,
func_149165_c,getReason,2,
func_149169_c,getIdentifier,2,
func_149173_d,getSlot,2,
func_149174_e,getItem,2,
func_149175_c,getContainerId,2,
func_149180_e,getValue,2,
func_149181_d,getId,2,
func_149182_c,getContainerId,2,
func_149188_c,getMapId,2,
func_149195_d,isHardcore,2,
func_149197_c,getPlayerId,2,
func_149198_e,getGameType,2,
func_149207_d,getX,2,
func_149208_g,getVolume,2,
func_149209_h,getPitch,2,
func_149210_f,getZ,2,
func_149211_e,getY,2,
func_149220_d,getX,2,
func_149221_g,getXDist,2,
func_149222_k,getCount,2,
func_149223_i,getZDist,2,
func_149224_h,getYDist,2,
func_149225_f,getZ,2,
func_149226_e,getY,2,
func_149227_j,getMaxSpeed,2,
func_149241_e,getData,2,
func_149242_d,getType,2,
func_149244_c,isGlobalEvent,2,
func_149271_f,getZ,2,
func_149273_e,getX,2,
func_149274_i,isFullChunk,2,
func_149276_g,getAvailableSections,2,
func_149289_c,getTime,2,
func_149294_c,getStatus,2,
func_149299_b,getNonce,2,
func_149300_a,getSecretKey,2,
func_149304_c,getGameProfile,2,
func_149306_d,getDisplayName,2,
func_149307_h,getMethod,2,
func_149308_i,getOptions,2,
func_149310_g,getPlayers,2,
func_149312_c,getName,2,
func_149321_d,getObjectiveName,2,
func_149323_e,getScore,2,
func_149324_c,getOwner,2,
func_149330_d,getFood,2,
func_149331_e,getSaturation,2,
func_149332_c,getHealth,2,
func_149337_d,getDisplayName,2,
func_149338_e,getMethod,2,
func_149339_c,getObjectiveName,2,
func_149353_d,getPlayerId,2,
func_149354_c,getItemId,2,
func_149365_d,getDayTime,2,
func_149366_c,getGameTime,2,
func_149370_d,getObjectiveName,2,
func_149371_c,getSlot,2,
func_149375_d,getId,2,
func_149376_c,getUnpackedData,2,
func_149380_c,getYHeadRot,2,
func_149381_a,getEntity,2,
func_149385_c,getSlot,2,
func_149389_d,getEntity,2,
func_149395_e,getExperienceLevel,2,
func_149396_d,getTotalExperience,2,
func_149397_c,getExperienceProgress,2,
func_149402_e,getDestId,2,
func_149403_d,getSourceId,2,
func_149409_f,getZa,2,
func_149410_e,getYa,2,
func_149411_d,getXa,2,
func_149412_c,getId,2,
func_149426_d,getEntityId,2,
func_149427_e,getEffectId,2,
func_149428_f,getEffectAmplifier,2,
func_149429_c,isSuperLongDuration,2,
func_149435_c,getAction,2,
func_149439_c,getMessage,2,
func_149441_d,getValues,2,
func_149442_c,getEntityId,2,
func_149447_h,getxRot,2,
func_149450_g,getyRot,2,
func_149451_c,getId,2,
func_149460_c,getId,2,
func_149465_i,isOnGround,2,
func_149488_d,isFlying,2,
func_149512_e,getData,2,
func_149520_f,getChatColors,2,
func_149521_d,getModelCustomisation,2,
func_149523_e,getChatVisibility,2,
func_149524_c,getLanguage,2,
func_149532_c,getContainerId,2,
func_149533_d,getUid,2,
func_149537_d,getButtonId,2,
func_149539_c,getContainerId,2,
func_149543_e,getButtonNum,2,
func_149544_d,getSlotNum,2,
func_149546_g,getItem,2,
func_149547_f,getUid,2,
func_149548_c,getContainerId,2,
func_149564_a,getTarget,2,
func_149565_c,getAction,2,
func_149594_c,getIntention,2,
func_149595_d,getProtocolVersion,2,
func_149603_c,getReason,2,
func_149607_e,getNonce,2,
func_149608_d,getPublicKey,2,
func_149609_c,getServerId,2,
func_149614_c,getSlot,2,
func_149618_e,isJumping,2,
func_149620_c,getXxa,2,
func_149625_d,getItem,2,
func_149627_c,getSlotNum,2,
func_149634_a,byItem,2,
func_149638_a,getExplosionResistance,2,
func_149645_b,getRenderShape,2,
func_149653_t,isRandomlyTicking,2,
func_149656_h,getPistonPushReaction,2,
func_149659_a,dropFromExplosion,2,
func_149666_a,fillItemCategory,2,
func_149738_a,getTickDelay,2,
func_149739_a,getDescriptionId,2,
func_149740_M,hasAnalogOutputSignal,2,
func_149744_f,isSignalSource,2,
func_149829_a,falling,2,
func_149843_e,bootStrap,2,
func_149939_a,getDispensePosition,2,
func_149940_a,getDispenseMethod,2,
func_150210_i,getHoverEvent,2,
func_150223_b,isBold,2,
func_150229_g,isEmpty,2,
func_150233_f,isObfuscated,2,
func_150234_e,isUnderlined,2,
func_150235_h,getClickEvent,2,
func_150236_d,isStrikethrough,2,
func_150242_c,isItalic,2,
func_150253_a,getSiblings,2,
func_150256_b,getStyle,2,
func_150261_e,getContents,2,
func_150265_g,getText,2,
func_150268_i,getKey,2,
func_150270_g,decompose,2,
func_150271_j,getArgs,2,
func_150285_a_,getAsString,2,
func_150286_g,getAsDouble,2,
func_150287_d,getAsInt,2,
func_150288_h,getAsFloat,2,
func_150289_e,getAsShort,2,
func_150290_f,getAsByte,2,
func_150291_c,getAsLong,2,
func_150292_c,getAsByteArray,2,
func_150295_c,getList,2,
func_150296_c,getAllKeys,2,
func_150297_b,contains,2,
func_150298_a,writeNamedTag,2,
func_150299_b,getTagType,2,
func_150302_c,getAsIntArray,2,
func_150305_b,getCompound,2,
func_150306_c,getIntArray,2,
func_150307_f,getString,2,
func_150308_e,getFloat,2,
func_150309_d,getDouble,2,
func_150502_a,bufToByte,2,
func_150503_a,decipher,2,
func_150504_a,encipher,2,
func_150663_a,writeUnnamedTag,2,
func_150668_b,getValue,2,
func_150669_a,getAction,2,
func_150672_a,getByName,2,
func_150673_b,getName,2,
func_150674_a,isAllowedFromServer,2,
func_150684_a,getByName,2,
func_150685_b,getName,2,
func_150686_a,isAllowedFromServer,2,
func_150695_a,serializeStyle,2,
func_150696_a,toJson,2,
func_150701_a,getAction,2,
func_150718_a,disconnect,2,
func_150719_a,setListener,2,
func_150721_g,setReadOnly,2,
func_150722_a,connectToLocalServer,2,
func_150723_a,setProtocol,2,
func_150724_d,isConnected,2,
func_150729_e,getPacketListener,2,
func_150730_f,getDisconnectedReason,2,
func_150731_c,isMemoryConnection,2,
func_150732_b,sendPacket,2,
func_150733_h,flushQueue,2,
func_150752_a,getProtocolForPacket,2,
func_150759_c,getId,2,
func_150760_a,getById,2,
func_150786_a,writeNbt,2,
func_150787_b,writeVarInt,2,
func_150788_a,writeItem,2,
func_150789_c,readUtf,2,
func_150790_a,getVarIntSize,2,
func_150791_c,readItem,2,
func_150792_a,readVarInt,2,
func_150793_b,readNbt,2,
func_150813_a,addBlockEntity,2,
func_150835_j,getEntity,2,
func_150859_c,createPortalBlocks,2,
func_150860_b,isValid,2,
func_150871_b,increment,2,
func_150873_a,setValue,2,
func_150876_a,sendStats,2,
func_150877_d,markAllDirty,2,
func_150878_c,getDirty,2,
func_150883_b,save,2,
func_150891_b,getId,2,
func_150893_a,getDestroySpeed,2,
func_150895_a,fillItemCategory,2,
func_150897_b,isCorrectToolForDrops,2,
func_150898_a,byBlock,2,
func_150899_d,byId,2,
func_150911_c,getUpdatePacket,2,
func_150930_a,makeSureTagIsValid,2,
func_150997_a,getDestroySpeed,2,
func_150998_b,isCorrectToolForDrops,2,
func_151000_E,getDisplayName,2,
func_151200_h,getAsString,2,
func_151201_f,isValidPrimitive,2,
func_151202_d,isArrayNode,2,
func_151203_m,getAsInt,2,
func_151204_g,isValidNode,2,
func_151205_a,isStringValue,2,
